Feature1,Feature2,...,FeatureN,Label
5,77,0,5,6,65
6,46,1,8,0,39
8,96,0,6,6,89
6,42,1,6,8,30
1,89,1,9,2,69
4,61,1,5,9,47
1,71,1,6,7,44
8,75,1,8,2,69
3,88,0,4,4,65
5,68,0,6,5,54
4,80,1,9,8,66
6,75,0,9,2,66
9,43,0,7,4,39
7,62,1,8,7,54
4,80,0,9,6,64
3,48,0,7,1,26
8,49,0,7,1,43
6,74,0,5,6,62
6,42,0,8,6,29
2,81,1,4,3,58
2,82,1,5,3,61
4,44,0,9,1,27
8,87,0,8,6,81
5,81,0,6,5,67
9,53,0,9,7,56
8,54,1,8,4,52
6,92,1,7,9,80
6,67,1,5,2,56
2,97,1,8,6,76
4,90,0,8,3,69
5,42,1,5,1,27
3,86,0,9,0,64
1,99,1,4,6,75
1,97,0,5,5,68
1,40,0,9,7,16
3,50,0,5,8,29
3,94,0,5,6,75
1,62,1,8,9,37
7,96,0,5,3,82
6,58,1,4,6,47
9,86,0,7,0,84
8,97,1,5,2,93
6,69,0,8,0,60
4,69,1,9,9,55
6,80,0,7,4,68
7,40,0,7,2,29
1,56,0,4,9,28
4,80,1,8,9,63
3,50,0,4,1,26
7,81,1,4,5,71
9,95,0,8,4,92
4,89,1,9,8,73
2,54,0,5,9,28
7,80,0,6,9,68
8,47,0,5,0,38
5,74,0,5,5,63
9,60,1,8,1,58
7,80,1,4,8,71
7,86,0,9,8,78
5,79,0,9,5,64
4,99,0,7,1,82
8,95,0,9,2,90
6,71,0,8,6,62
6,59,1,8,1,51
1,95,0,7,4,72
6,75,0,7,2,63
1,91,1,5,0,62
8,97,1,6,3,91
5,66,0,7,2,49
9,53,1,9,6,49
1,65,0,7,7,42
1,60,1,4,3,34
1,69,1,5,3,41
9,84,0,7,4,78
9,54,1,8,6,51
3,93,0,5,6,74
6,70,0,4,7,57
7,85,1,5,3,73
9,54,1,7,6,53
6,73,0,7,2,58
8,81,0,6,8,75
9,69,0,8,2,66
2,71,0,7,7,47
7,50,0,9,5,42
8,65,0,8,3,61
1,45,0,7,1,16
4,45,0,7,1,25
2,98,0,9,7,78
7,61,0,5,0,49
1,56,0,4,5,33
4,90,0,8,0,73
1,94,1,7,3,66
4,58,1,6,4,40
4,95,0,6,0,78
6,68,0,4,0,53
1,41,0,4,3,12
1,89,1,7,5,63
3,66,0,8,6,45
3,56,0,6,3,35
9,89,1,9,3,87
9,76,1,8,1,71
2,83,1,4,5,60
8,63,0,8,7,59
6,54,0,7,1,40
9,41,1,4,4,36
1,42,0,5,9,13
3,71,1,6,6,54
2,52,0,8,4,31
4,96,1,8,9,82
2,46,0,9,8,23
4,65,1,8,6,47
6,96,0,9,6,86
5,49,1,7,2,31
5,85,0,6,3,67
9,52,1,8,1,47
8,73,0,9,7,66
5,94,0,5,3,76
6,46,1,9,5,35
9,55,0,7,3,55
8,57,1,6,0,49
1,85,0,9,6,60
5,52,0,8,9,39
6,93,1,5,7,83
5,87,1,6,1,72
9,72,0,5,6,71
5,66,0,6,1,48
9,85,0,8,7,82
1,78,0,6,9,50
3,99,0,8,6,82
2,92,0,4,3,65
4,72,0,5,3,56
7,72,1,5,8,63
7,40,1,9,6,34
1,54,1,5,8,27
8,58,0,6,6,53
9,89,1,6,9,91
2,85,1,9,3,61
8,68,1,5,1,58
6,58,0,9,7,49
5,81,0,4,6,67
7,65,1,5,0,55
6,95,0,6,9,82
8,63,0,5,6,56
3,52,0,7,1,32
1,47,0,8,5,20
5,98,1,4,7,83
4,96,0,6,2,81
4,75,1,9,7,62
3,60,0,7,5,39
3,95,0,6,1,76
7,57,0,6,9,52
1,71,1,6,5,50
3,59,0,7,7,43
2,66,0,7,4,43
8,67,0,6,3,58
8,80,0,8,7,77
9,77,1,5,0,76
5,50,1,5,2,34
1,74,1,7,5,46
6,67,0,8,5,54
5,63,1,6,9,50
2,54,1,9,6,32
4,46,0,9,1,28
3,55,1,8,7,35
2,64,0,8,0,40
1,98,1,9,6,75
7,54,1,5,3,46
1,99,0,6,9,76
2,41,0,4,9,13
5,77,0,7,9,67
7,53,0,7,0,41
7,84,1,4,4,72
5,64,0,5,8,49
7,62,0,4,0,50
7,56,0,8,4,51
5,88,1,8,5,76
9,60,1,9,7,60
1,69,0,8,5,42
2,83,1,9,2,61
4,87,0,8,5,74
4,82,1,8,9,68
3,85,1,6,3,68
3,99,1,7,8,77
5,76,1,9,1,64
2,84,0,6,8,61
2,69,0,9,0,45
6,77,0,7,6,69
4,94,1,4,7,76
5,68,1,8,7,54
8,62,0,5,7,57
2,80,0,6,0,56
8,83,0,9,3,79
8,54,1,5,4,47
7,40,1,6,4,30
8,75,1,8,7,68
6,62,1,9,2,53
7,41,0,5,3,31
8,49,1,8,5,43
8,90,1,6,3,84
9,92,0,7,0,85
5,42,1,4,7,25
4,95,0,9,1,78
9,63,0,9,3,61
8,58,0,6,7,50
3,95,1,4,9,74
7,77,0,6,1,68
9,61,1,5,6,59
5,71,0,5,5,54
9,78,0,4,8,72
5,56,1,7,6,46
6,44,0,9,0,33
6,87,0,5,3,72
7,96,1,6,3,82
6,40,0,5,2,27
3,82,1,4,3,61
6,64,1,8,8,56
4,78,0,4,6,62
8,63,1,5,9,60
5,82,0,7,3,68
7,73,0,4,9,62
9,64,0,5,5,60
2,46,1,6,8,21
2,45,0,5,2,20
6,42,0,4,9,24
9,78,0,9,3,74
4,90,1,5,5,74
5,56,0,7,8,43
9,66,0,4,0,61
7,64,0,4,5,50
8,92,0,9,0,89
3,45,0,5,2,24
6,80,0,7,3,69
8,90,0,5,1,82
1,89,1,6,0,63
8,64,1,7,6,62
8,40,1,7,7,31
9,90,0,9,1,87
2,79,1,7,9,57
8,41,1,8,1,35
8,89,1,8,2,83
8,53,0,8,2,46
9,54,0,9,7,51
8,95,1,9,5,94
9,66,0,9,6,65
7,62,0,8,8,52
2,91,1,7,1,66
5,54,0,5,0,38
8,78,0,6,4,72
6,97,0,5,4,83
4,55,1,7,6,38
8,69,0,5,7,62
7,69,1,6,9,63
9,87,0,4,9,83
9,85,1,5,0,82
3,79,1,4,9,64
3,66,0,4,6,45
9,85,1,4,0,82
7,83,1,9,9,78
8,47,0,9,5,40
2,64,0,5,4,42
8,81,1,9,3,77
2,94,0,4,5,72
6,74,0,6,6,59
7,94,1,6,3,85
1,42,0,5,5,12
8,48,1,4,8,42
6,50,0,5,8,36
3,48,1,5,9,28
6,42,0,9,5,29
6,50,0,5,5,38
9,95,0,4,2,91
7,45,0,9,7,33
2,71,1,4,7,50
9,45,1,8,4,44
9,84,0,9,3,83
4,98,1,9,6,84
2,80,1,9,1,61
4,78,0,8,6,65
3,72,0,4,8,50
8,49,1,8,0,45
9,60,1,4,3,56
3,41,1,7,3,24
6,57,1,7,3,43
7,53,0,6,6,45
2,65,1,9,4,40
2,72,0,9,1,52
7,67,0,9,1,59
4,49,0,4,4,28
1,55,0,4,0,29
9,70,1,8,5,67
6,66,1,7,7,58
9,55,1,7,5,53
1,64,0,8,5,39
9,42,1,9,6,41
6,47,0,9,8,36
3,81,0,4,2,58
8,59,1,8,0,51
1,69,1,4,3,41
9,91,0,5,2,81
1,91,0,8,4,64
4,66,0,8,0,47
5,77,0,6,3,62
8,54,0,4,6,47
4,93,1,8,6,77
5,48,0,6,4,33
9,98,1,4,9,96
3,47,0,7,4,24
9,64,0,7,5,63
1,74,0,4,0,52
4,98,1,4,1,79
7,80,1,7,5,72
7,89,1,4,0,79
9,65,0,8,8,64
9,87,0,6,4,85
1,65,0,8,2,40
3,66,0,6,8,44
9,98,1,4,5,100
9,49,0,5,0,46
9,58,1,7,2,56
5,58,0,6,3,40
8,78,0,6,4,71
1,90,0,9,9,65
8,94,1,6,5,90
5,84,1,7,3,66
6,88,1,7,6,75
1,86,1,9,1,61
2,41,0,4,1,13
1,72,1,8,1,45
3,43,1,7,2,21
6,79,1,8,2,66
4,59,0,9,6,46
8,95,0,8,1,94
6,59,0,8,5,49
2,70,0,6,8,50
9,99,1,8,6,98
8,62,0,7,6,57
7,43,0,4,4,37
5,91,0,6,8,73
8,92,1,7,8,90
7,91,1,7,6,87
4,99,0,4,9,80
9,88,0,9,1,87
1,73,1,7,9,47
6,74,1,7,6,64
1,46,0,6,6,20
4,79,0,9,3,66
2,87,0,4,9,67
7,75,1,6,1,65
1,69,0,7,0,40
4,61,0,5,0,42
1,53,0,5,0,26
4,58,0,4,8,42
7,44,0,5,4,37
7,87,0,6,7,81
4,66,1,8,6,51
2,88,1,4,9,62
8,45,1,9,7,40
5,89,0,5,6,74
3,99,0,8,8,80
8,80,0,5,1,74
7,68,0,8,3,61
7,73,0,8,3,63
4,74,1,5,0,57
8,96,1,5,9,91
6,92,0,8,2,78
4,75,1,4,1,60
9,60,0,5,5,57
8,42,1,8,0,34
8,54,0,8,2,49
5,69,0,9,4,54
7,40,0,6,1,29
3,70,0,5,1,49
6,46,0,6,2,33
5,70,1,5,3,58
4,66,1,5,4,48
4,95,1,9,5,78
4,52,0,4,1,35
2,46,1,9,9,28
6,62,1,5,8,47
6,51,1,6,6,37
6,43,1,7,4,29
6,94,0,8,8,87
3,49,1,9,0,31
7,48,0,9,1,40
3,58,0,4,7,41
8,80,1,5,9,74
6,76,1,9,9,69
8,61,0,8,0,56
8,91,1,6,7,86
6,76,1,9,6,61
6,63,0,6,6,53
2,53,1,7,2,25
7,87,0,8,6,79
9,45,1,8,8,46
2,52,1,4,1,25
9,57,1,8,7,54
6,42,1,8,5,28
8,76,0,4,3,69
1,76,1,7,3,54
1,70,0,6,3,42
9,88,1,5,4,85
5,95,1,6,0,80
1,83,0,4,5,56
1,57,1,5,0,29
1,87,1,8,2,61
4,48,1,5,0,32
7,90,1,8,9,84
2,70,0,6,2,46
5,89,1,5,2,76
8,42,1,7,8,38
2,93,1,5,6,71
7,98,0,4,4,89
1,91,1,6,2,66
4,88,0,4,0,69
6,75,0,6,5,62
7,66,1,9,8,60
5,59,1,4,2,41
9,40,1,9,4,37
9,49,0,5,3,41
1,57,0,8,0,31
4,73,1,8,0,59
9,71,1,8,4,68
6,95,0,5,5,82
1,49,1,8,5,25
2,72,1,8,4,52
5,87,1,9,5,75
6,78,1,8,4,68
4,48,1,9,6,33
4,98,1,9,8,83
6,87,1,7,0,78
4,99,0,9,8,87
6,55,1,9,1,44
6,79,0,6,9,70
9,87,0,7,3,88
8,76,1,8,9,69
8,66,0,7,2,59
3,88,1,5,0,70
6,65,1,6,1,54
2,89,0,8,3,66
5,64,0,7,6,49
9,83,0,9,8,85
3,47,0,9,2,28
7,76,0,7,3,64
9,66,1,9,6,65
5,88,0,5,6,73
4,66,0,8,6,47
2,79,0,8,9,55
1,77,0,7,5,50
6,95,1,7,3,83
7,71,0,9,9,63
9,89,1,7,2,85
2,69,1,5,2,43
2,42,1,4,5,15
1,97,0,8,3,68
5,85,1,5,4,69
3,68,0,7,9,46
2,61,0,9,0,37
1,70,1,6,9,47
5,47,0,7,5,37
9,57,1,5,9,52
1,42,0,5,6,14
2,86,1,4,3,61
1,48,0,5,4,18
9,98,1,8,9,93
7,88,1,5,3,80
8,53,1,8,0,49
1,70,0,6,5,44
3,57,1,9,0,38
6,87,1,5,4,77
3,74,0,6,6,54
1,81,1,4,4,55
8,88,0,7,4,84
8,52,0,9,0,45
3,96,1,7,1,72
2,56,0,5,8,33
5,58,0,8,2,43
5,94,0,7,2,83
8,64,0,5,7,58
8,63,1,6,3,58
1,54,0,9,6,24
8,58,0,5,3,52
9,74,1,6,8,69
8,56,1,9,9,51
4,67,1,7,1,52
1,80,1,7,4,55
3,72,0,7,1,50
3,74,1,8,8,54
9,67,0,4,4,57
4,93,1,4,6,77
5,83,1,6,8,67
3,53,0,6,2,31
9,54,1,4,0,52
4,83,0,6,9,63
5,59,1,8,9,48
4,71,0,9,7,57
4,80,0,7,8,69
2,49,0,6,4,26
6,54,1,4,1,39
6,43,0,5,5,39
9,54,1,8,6,52
3,68,0,6,6,47
8,91,0,8,4,88
1,80,0,8,3,53
5,98,1,6,3,84
9,85,0,5,0,81
3,72,0,5,3,50
2,77,1,5,0,53
3,86,1,7,6,65
4,81,0,4,6,56
7,73,1,7,0,67
8,90,1,4,3,82
4,75,0,8,6,60
1,80,1,4,3,51
6,58,1,9,9,50
8,82,0,7,3,76
7,73,1,5,9,64
1,87,0,8,9,64
3,60,0,5,6,37
8,67,0,9,4,62
8,60,1,6,2,54
4,70,0,5,4,51
1,95,0,8,3,71
1,44,0,8,6,19
2,44,1,8,8,26
8,85,0,5,8,79
7,48,0,8,9,40
6,66,0,8,8,58
9,75,0,8,1,71
3,63,0,6,9,41
8,77,1,6,4,71
5,78,1,8,3,63
7,83,1,8,3,77
9,58,1,8,9,58
1,49,1,4,2,23
6,61,0,7,4,49
2,68,1,8,4,46
9,92,0,8,6,90
7,43,1,9,2,37
4,98,1,4,6,84
5,80,1,9,9,70
7,64,1,7,0,53
4,87,1,9,5,72
4,45,1,7,0,26
1,58,1,6,3,28
2,43,1,9,8,23
8,53,0,7,5,45
7,67,0,6,5,59
9,96,0,6,8,93
4,72,0,8,2,52
3,42,0,4,5,20
2,68,0,8,4,41
8,95,1,8,3,89
6,67,0,5,5,56
8,53,1,6,4,46
6,77,1,8,0,66
5,79,1,4,6,67
9,45,0,9,4,39
8,91,0,7,1,83
6,41,1,8,4,29
2,58,1,8,4,34
2,58,1,5,9,33
3,97,1,6,1,75
6,62,1,9,0,52
4,44,1,7,6,27
1,48,1,5,2,19
3,73,0,8,1,53
6,51,0,6,4,40
6,48,1,9,2,38
2,78,0,7,2,56
4,55,1,5,5,39
7,85,0,6,7,76
5,57,0,5,8,39
1,81,1,6,1,56
1,46,0,8,9,19
6,45,1,7,8,34
1,98,0,8,2,74
6,43,0,5,3,32
5,54,1,5,1,35
8,44,1,9,2,40
3,85,0,8,0,65
1,90,1,7,8,64
9,84,0,4,3,77
1,73,1,7,3,49
6,45,1,8,1,32
4,50,1,6,7,34
8,58,1,5,3,51
8,85,1,7,6,79
3,54,1,7,7,29
9,93,1,5,2,89
2,88,0,5,2,59
8,46,1,8,8,41
4,98,1,8,4,80
7,64,0,8,7,58
8,55,1,9,3,51
2,60,1,4,7,39
9,69,1,5,6,66
8,78,0,6,8,73
7,78,0,9,3,72
4,58,0,6,9,37
3,86,1,5,1,67
6,79,0,8,3,67
5,68,1,7,7,53
9,73,1,6,7,72
7,47,1,5,7,38
8,88,1,5,6,82
2,78,1,8,8,58
2,70,1,4,1,41
9,75,1,4,1,67
5,63,1,7,9,48
1,52,0,7,0,25
3,51,0,6,4,33
4,55,0,9,5,36
1,94,0,4,5,67
9,56,1,5,9,52
1,48,0,8,3,25
4,87,0,8,7,70
8,60,1,7,1,56
1,81,1,4,9,51
9,42,0,7,3,40
5,41,0,4,8,23
9,56,0,6,9,55
1,47,0,4,6,20
3,64,1,9,8,43
3,52,1,5,7,37
2,60,0,6,5,36
8,73,1,6,4,68
9,93,1,6,7,93
6,85,1,7,0,73
3,75,1,6,4,57
8,67,0,9,0,62
6,62,1,8,2,49
7,44,1,9,1,36
2,89,0,7,7,67
3,63,0,6,9,45
5,42,1,7,4,29
5,55,1,7,4,41
2,94,1,6,8,72
5,42,0,4,0,25
5,98,0,6,1,82
8,54,0,5,3,46
4,58,1,7,2,46
8,86,0,9,3,81
3,80,0,7,6,59
7,49,0,7,6,38
1,63,1,8,3,37
3,79,0,8,4,61
6,44,0,5,1,34
9,40,0,5,7,36
4,79,0,6,6,61
3,91,1,7,1,74
3,79,1,9,2,60
6,78,0,9,6,68
9,81,0,7,9,75
8,53,0,8,4,49
5,46,1,5,1,29
2,64,1,4,2,42
5,55,1,4,9,37
4,79,1,9,7,65
9,60,0,4,5,55
8,48,0,8,2,39
8,97,0,7,3,93
8,48,0,5,4,40
3,86,1,4,0,67
2,42,1,9,1,20
6,81,0,4,2,68
9,97,1,4,0,95
6,70,0,4,2,56
6,54,1,4,5,39
3,95,0,7,5,75
7,91,0,6,6,81
8,63,1,5,1,58
7,83,0,6,0,73
7,56,0,7,5,49
3,50,1,8,4,30
6,93,0,6,9,84
9,86,1,9,0,87
3,99,0,6,6,79
4,49,0,8,4,33
4,94,0,5,9,75
4,90,1,8,5,71
4,67,0,4,8,49
1,99,0,8,1,75
7,42,1,5,7,34
2,44,0,6,1,18
3,49,0,7,4,30
9,93,0,9,7,91
2,72,0,8,2,53
8,85,1,5,7,82
8,73,1,5,6,70
8,70,0,5,2,63
7,41,0,7,5,32
9,82,0,7,3,79
2,40,0,5,1,13
7,73,0,7,7,64
5,80,1,6,7,64
8,90,1,5,3,81
2,65,0,5,6,38
9,77,0,6,9,76
4,49,1,7,6,34
4,91,0,8,7,74
8,92,0,6,0,90
7,94,1,4,4,84
4,89,1,8,1,73
4,75,1,8,9,59
2,65,0,4,0,39
6,69,0,5,4,60
9,77,0,5,7,70
9,70,0,9,9,67
9,41,0,4,5,37
3,62,1,4,0,43
3,85,0,5,0,60
1,75,1,4,4,46
5,96,0,4,1,79
5,89,1,8,2,75
5,88,0,5,2,71
1,60,0,7,0,36
7,44,0,8,9,36
7,90,0,4,8,77
9,56,0,5,2,52
7,93,0,6,2,84
8,51,1,6,8,47
7,88,1,5,6,77
6,91,1,7,4,76
7,89,1,5,7,80
5,66,0,6,4,53
8,57,1,7,0,52
7,52,1,7,0,44
3,55,0,9,4,38
2,63,0,4,3,37
1,78,0,4,2,52
4,95,0,9,8,79
7,64,1,6,9,58
8,96,0,7,0,90
3,73,0,5,5,52
3,44,0,7,5,23
7,58,0,4,2,48
6,56,0,7,3,43
2,72,0,4,3,43
2,43,0,7,3,19
5,62,1,7,0,45
6,59,1,4,8,45
6,95,1,6,7,81
4,43,0,8,2,22
2,43,1,6,1,17
7,72,1,4,3,63
5,95,0,8,8,82
4,88,1,9,7,73
6,86,0,7,2,75
2,45,0,4,7,21
5,76,0,6,6,61
1,75,0,5,3,44
5,87,1,5,1,71
1,65,0,9,0,38
2,73,0,7,1,48
3,98,1,4,0,72
2,66,1,4,0,45
6,86,0,8,5,73
1,84,1,8,7,61
2,67,1,6,6,44
1,57,1,6,1,35
5,85,1,6,1,68
2,71,0,6,4,48
2,92,1,4,3,67
3,68,0,9,0,45
5,62,1,6,1,45
3,66,0,6,5,48
8,84,0,5,8,78
3,68,0,5,7,48
3,60,1,8,8,43
3,47,1,4,1,28
4,65,0,9,7,49
2,48,1,5,5,26
9,58,1,5,2,56
7,96,0,4,8,84
5,58,0,8,8,47
1,98,1,5,6,73
5,45,0,5,8,30
7,53,0,5,9,40
7,50,0,6,8,43
4,63,1,5,3,42
3,46,1,8,4,25
3,62,1,8,9,45
5,68,1,8,9,56
6,70,0,9,1,59
7,54,0,8,3,41
9,60,1,7,1,58
1,74,1,8,0,50
5,55,1,6,8,40
6,55,0,8,6,44
7,48,1,5,5,38
3,53,1,9,8,40
2,69,0,5,4,45
1,96,0,7,9,72
1,83,0,7,2,58
3,65,0,8,3,47
4,48,1,9,6,33
1,63,1,8,3,37
7,47,0,8,8,41
4,62,0,7,1,41
8,92,0,4,6,87
6,65,0,7,7,56
5,97,1,7,5,87
6,97,1,5,4,87
9,43,1,6,6,43
8,81,0,6,9,76
5,48,0,5,7,30
9,56,1,7,8,53
8,87,0,7,8,81
6,43,0,6,0,31
7,94,0,4,0,83
9,98,0,8,5,96
4,47,0,8,6,28
8,91,0,7,8,88
3,58,0,5,5,41
1,58,0,4,2,32
2,94,0,9,5,74
8,75,0,7,6,69
8,67,0,4,1,61
2,99,1,9,5,76
1,92,1,6,7,67
5,60,0,4,5,45
2,86,1,4,7,62
6,46,0,4,7,33
5,40,1,5,8,24
5,40,1,6,9,27
2,66,1,6,3,45
9,95,1,4,5,93
1,42,0,9,5,18
4,59,1,6,7,41
6,45,0,9,8,32
1,51,1,5,9,28
5,53,1,8,1,41
1,62,1,7,3,39
3,62,0,9,4,44
4,78,0,7,5,59
2,83,1,9,1,62
9,94,1,8,5,94
6,55,0,8,6,43
1,50,0,4,9,24
3,55,0,9,0,34
7,94,1,7,4,86
4,84,1,4,2,69
9,52,0,6,5,50
2,65,0,7,2,43
3,42,1,5,6,23
1,68,0,4,1,38
7,93,0,6,8,84
3,47,1,6,9,25
2,52,0,5,5,26
4,40,0,6,2,18
8,99,1,8,8,96
3,41,1,4,1,17
7,43,1,4,3,33
1,98,0,9,1,69
5,47,1,8,7,34
5,91,1,6,3,78
6,54,0,4,9,41
6,93,1,5,5,83
3,84,0,4,6,62
5,88,0,7,1,76
1,85,1,7,8,59
1,87,0,5,0,61
8,87,1,8,2,87
2,77,1,9,6,56
8,83,1,6,4,75
9,52,1,4,1,44
6,66,1,6,8,53
6,45,1,8,3,38
4,96,0,4,5,81
4,73,0,7,7,55
4,91,0,9,9,79
4,85,1,5,9,70
1,67,0,6,8,40
4,94,1,8,1,78
6,70,1,5,2,56
1,47,1,5,0,19
8,68,0,5,1,60
4,59,0,9,2,41
9,92,1,5,5,90
4,48,0,7,0,27
9,95,0,5,7,90
4,93,1,6,5,72
3,48,1,4,8,27
2,67,0,8,3,46
2,69,1,9,1,46
4,99,1,8,5,87
3,92,0,4,2,73
1,92,0,4,6,61
9,87,1,8,5,87
3,66,0,7,8,45
2,76,1,5,6,56
2,89,1,6,1,65
6,56,1,7,1,45
9,72,0,8,2,68
7,90,1,5,6,85
6,56,0,4,9,45
4,53,1,9,1,33
2,52,1,8,2,29
1,58,0,6,8,34
3,71,1,4,5,50
7,73,1,9,3,64
4,90,0,7,8,74
7,75,1,8,4,67
3,41,1,5,5,24
8,92,1,8,8,89
3,70,1,9,6,52
8,63,1,9,8,62
6,88,0,6,5,77
5,69,0,8,1,57
9,43,0,5,9,39
3,65,0,5,0,44
2,56,0,9,1,31
4,68,0,9,4,51
3,85,1,9,8,71
4,47,1,5,1,27
6,77,1,7,0,64
1,96,1,6,3,69
7,68,0,7,6,58
8,86,1,8,4,80
7,98,0,6,9,90
8,53,1,6,9,51
8,59,1,6,7,52
1,86,0,4,6,59
6,80,1,7,0,71
6,99,1,5,6,85
8,48,0,9,0,37
9,45,0,5,8,43
3,69,0,4,4,51
6,78,0,7,0,66
1,78,1,4,8,53
7,95,1,8,4,84
6,53,1,7,8,43
2,81,1,5,9,61
3,94,0,7,9,70
8,92,0,6,7,87
1,72,0,6,4,51
6,99,0,4,7,91
9,94,1,8,5,93
6,59,1,7,7,48
4,86,0,8,4,71
3,60,1,4,6,38
3,56,0,4,5,32
4,60,0,5,7,39
9,53,0,9,7,52
2,60,1,4,6,34
9,74,0,4,6,69
2,76,1,6,7,56
6,64,1,6,8,53
3,56,1,5,9,34
1,68,1,7,4,41
4,77,1,6,5,61
6,80,1,6,9,69
8,59,1,6,4,55
9,73,1,5,0,67
4,42,1,9,9,28
6,84,1,8,4,74
9,81,1,7,3,78
1,51,1,8,1,25
8,71,0,9,3,69
8,85,0,9,2,77
1,49,1,7,9,23
5,87,0,6,9,76
9,54,0,8,0,49
1,49,1,9,4,25
5,63,1,9,8,50
2,62,0,4,5,39
2,91,1,4,7,68
2,44,1,5,9,25
5,62,1,6,2,48
7,55,0,5,3,45
5,56,1,5,8,42
6,45,1,6,2,34
7,82,0,7,4,70
8,85,1,6,9,81
7,64,1,8,6,55
8,99,0,8,1,93
3,54,1,6,3,38
6,68,0,7,2,58
3,43,0,6,8,23
6,46,0,7,8,39
8,60,0,5,9,53
1,83,1,6,9,56
4,83,0,8,0,68
7,89,0,5,1,80
1,86,1,5,0,62
3,57,0,4,5,34
8,77,0,7,6,67
4,83,0,4,9,65
7,79,0,7,5,72
4,79,0,9,0,62
6,73,1,7,1,63
5,79,0,4,9,67
9,63,0,8,9,62
2,94,0,4,9,66
2,46,0,4,3,22
2,40,1,5,3,17
4,44,0,6,4,24
8,68,1,4,5,64
2,86,0,7,2,63
5,62,0,7,8,45
9,40,1,8,9,39
7,51,1,4,4,40
3,44,1,9,5,24
2,63,1,5,3,39
7,67,1,8,4,62
1,80,1,7,0,59
1,74,0,4,1,48
1,43,0,9,0,15
7,91,1,8,6,88
1,40,0,5,9,14
2,84,0,8,9,60
6,88,0,4,6,75
5,71,1,4,5,54
9,46,0,8,5,41
1,64,0,7,7,38
2,68,1,6,3,47
1,43,1,9,1,16
5,48,0,5,3,34
7,72,0,8,3,66
1,69,1,5,1,42
6,77,1,8,9,64
9,51,0,8,3,47
3,61,1,5,2,40
7,73,1,4,2,64
9,74,0,4,7,71
8,79,1,8,7,74
5,75,1,5,8,60
7,51,0,9,3,44
9,41,0,9,4,35
9,84,1,6,2,81
4,69,0,5,7,53
3,82,0,8,3,64
7,71,1,6,1,62
8,43,0,5,9,35
1,59,1,5,6,32
9,85,0,5,2,81
5,85,0,9,8,71
6,96,0,4,1,82
1,91,0,6,2,64
1,44,0,5,4,15
9,91,0,7,0,87
4,70,1,6,5,50
1,52,1,9,7,27
8,93,0,8,4,88
1,50,1,5,7,24
3,68,0,5,5,49
5,81,1,5,9,66
6,90,1,4,7,74
4,80,1,9,1,62
6,75,0,7,7,66
2,85,1,7,8,64
1,44,1,8,3,20
7,97,0,7,7,88
6,65,1,5,4,55
8,65,0,4,4,55
9,67,1,9,7,68
7,47,1,7,5,34
9,66,0,9,3,61
8,98,0,6,7,92
3,43,0,6,2,20
3,58,1,9,0,36
2,63,1,6,0,39
7,53,0,4,3,44
7,89,0,4,6,80
1,94,0,9,4,73
1,79,1,5,8,55
6,75,1,7,0,62
2,65,0,9,9,41
9,55,0,8,8,50
9,98,0,4,1,91
5,88,1,6,2,73
4,64,0,7,0,45
6,76,1,6,7,66
1,54,0,7,7,28
6,46,1,7,3,35
1,96,0,7,5,72
2,40,0,8,1,16
9,67,1,6,8,67
9,42,0,5,0,37
6,89,0,4,2,74
7,65,0,7,7,59
3,73,0,8,0,54
4,44,1,6,7,28
6,52,0,6,4,42
6,44,0,9,9,34
8,79,1,8,6,73
7,55,0,4,4,43
8,59,1,9,8,55
7,73,1,5,6,63
8,61,0,4,6,52
1,57,1,8,0,27
4,74,0,7,4,57
2,53,0,6,5,30
4,44,0,8,9,27
3,62,0,8,1,42
5,50,1,9,8,42
5,69,1,6,0,52
4,74,0,8,9,56
2,83,0,7,6,60
8,73,1,4,7,68
6,60,1,6,4,46
8,67,1,5,3,60
1,51,0,6,1,24
3,49,0,6,0,26
3,75,1,9,3,56
7,48,1,8,8,41
2,63,0,4,3,39
7,50,0,7,4,39
9,96,1,9,1,94
1,57,0,7,6,31
5,49,1,7,0,31
6,89,1,4,8,75
4,95,1,5,6,80
8,64,0,6,7,61
2,90,1,6,9,68
1,42,0,4,2,18
6,48,1,6,6,35
6,41,1,4,7,27
5,79,1,7,3,65
1,69,1,7,1,48
4,47,1,9,8,31
5,74,1,4,2,59
4,96,1,9,2,81
9,55,1,7,4,49
2,43,0,5,6,18
3,96,0,8,7,75
3,47,1,4,7,27
6,55,1,7,0,44
1,97,1,8,7,74
6,51,0,5,2,38
2,57,0,6,2,32
5,58,1,9,5,46
9,93,1,7,9,93
4,49,0,6,4,29
4,45,0,8,5,32
8,69,0,9,5,64
7,68,0,7,1,57
5,89,0,9,6,75
6,56,1,5,5,41
1,43,1,7,4,16
3,46,1,9,9,28
8,41,1,5,0,34
6,89,1,7,8,77
7,43,0,4,2,33
7,64,1,4,7,56
1,85,1,5,2,58
1,76,1,4,9,48
1,76,1,7,3,53
1,55,1,7,4,30
4,53,0,9,5,34
4,92,0,6,2,76
8,61,1,6,9,58
6,54,0,7,3,41
4,55,0,5,5,36
9,67,0,5,5,62
6,45,0,4,4,34
2,51,0,6,1,26
6,54,1,6,6,43
5,42,1,6,4,27
1,60,0,5,2,33
5,88,0,4,8,73
6,90,1,5,2,78
8,45,1,7,1,39
6,77,1,9,3,70
